         4535 function calls (4405 primitive calls) in 0.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 query.py:1026(solve_lookup_type)
        1    0.000    0.000    0.000    0.000 lookups.py:99(__init__)
       12    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
       33    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 fields.py:220(to_python)
        5    0.000    0.000    0.000    0.000 expressions.py:216(output_field)
      4/2    0.000    0.000    0.000    0.000 deconstruct.py:19(__new__)
        6    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        3    0.000    0.000    0.000    0.000 tree.py:91(add)
        2    0.000    0.000    0.000    0.000 {method 'fetchmany' of 'psycopg2.extensions.cursor' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:53(__init__)
        7    0.000    0.000    0.000    0.000 base.py:408(validate_thread_sharing)
        3    0.000    0.000    0.000    0.000 __init__.py:1130(debug)
        3    0.000    0.000    0.000    0.000 base.py:216(_set_autocommit)
        2    0.000    0.000    0.000    0.000 query.py:875(get_initial_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:592(db_type)
        1    0.000    0.000    0.000    0.000 six.py:89(__get__)
        2    0.000    0.000    0.000    0.000 validators.py:280(__call__)
        1    0.000    0.000    0.000    0.000 lookups.py:146(process_lhs)
        1    0.000    0.000    0.000    0.000 lookups.py:150(process_rhs)
        5    0.000    0.000    0.000    0.000 base64.py:42(b64encode)
        5    0.000    0.000    0.000    0.000 base.py:79(get_backend_timeout)
        4    0.000    0.000    0.000    0.000 tree.py:30(_new_instance)
       21    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 query.py:1344(names_to_path)
        1    0.000    0.000    0.000    0.000 encoding.py:46(smart_text)
        6    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.000    0.000 compiler.py:595(get_from_clause)
        1    0.000    0.000    0.000    0.000 lookups.py:138(get_prep_lookup)
        1    0.000    0.000    0.000    0.000 related.py:621(__set__)
        1    0.000    0.000    0.000    0.000 query.py:112(__init__)
        1    0.000    0.000    0.000    0.000 query.py:986(prepare_lookup_value)
        2    0.000    0.000    0.000    0.000 threading.py:241(Condition)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        6    0.000    0.000    0.000    0.000 <string>:8(__new__)
       16    0.000    0.000    0.000    0.000 contextlib.py:12(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:712(get_prep_lookup)
        4    0.000    0.000    0.000    0.000 base.py:440(make_debug_cursor)
        6    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        2    0.000    0.000    0.000    0.000 utils.py:38(__exit__)
        5    0.000    0.000    0.000    0.000 expressions.py:599(__init__)
        1    0.000    0.000    0.000    0.000 expressions.py:283(get_lookup)
        5    0.000    0.000    0.000    0.000 {cPickle.dumps}
       16    0.000    0.000    0.000    0.000 utils.py:75(__exit__)
        5    0.000    0.000    0.000    0.000 __init__.py:638(get_db_converters)
        1    0.000    0.000    0.000    0.000 query_utils.py:53(__init__)
       18    0.000    0.000    0.000    0.000 {min}
        9    0.000    0.000    0.000    0.000 tree.py:19(__init__)
       13    0.000    0.000    0.000    0.000 {range}
        5    0.000    0.000    0.000    0.000 __init__.py:455(__eq__)
        2    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        1    0.000    0.000    0.000    0.000 encoding.py:72(force_text)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       16    0.000    0.000    0.000    0.000 utils.py:72(__enter__)
        9    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 base.py:282(get_autocommit)
        2    0.000    0.000    0.000    0.000 transaction.py:287(atomic)
        3    0.000    0.000    0.000    0.000 __init__.py:1345(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 lookups.py:141(get_db_prep_lookup)
        1    0.000    0.000    0.000    0.000 query.py:2115(update_join_types)
        1    0.000    0.000    0.000    0.000 _abcoll.py:83(__subclasshook__)
        2    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 threading.py:259(__init__)
       13    0.000    0.000    0.000    0.000 {callable}
       14    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 query.py:1443(setup_joins)
        1    0.000    0.000    0.000    0.000 base.py:152(get_connection_params)
        2    0.000    0.000    0.000    0.000 base.py:220(_savepoint_allowed)
        1    0.000    0.000    0.000    0.000 operations.py:336(savepoint_create_sql)
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        1    0.000    0.000    0.000    0.000 __init__.py:738(get_db_prep_lookup)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(get_prep_value)
        1    0.000    0.000    0.000    0.000 extras.py:589(_solve_conn_curs)
        1    0.000    0.000    0.000    0.000 six.py:112(_resolve)
        1    0.000    0.000    0.000    0.000 query.py:895(join)
        1    0.000    0.000    0.000    0.000 utf_8.py:33(getregentry)
        6    0.000    0.000    0.000    0.000 weakref.py:320(__setitem__)
       13    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:178(_compile_charset)
        1    0.000    0.000    0.000    0.000 threading.py:113(RLock)
        9    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'fetchone' of 'psycopg2.extensions.cursor' objects}
        3    0.000    0.000    0.000    0.000 {map}
        6    0.000    0.000    0.000    0.000 base.py:377(__init__)
        1    0.000    0.000    0.000    0.000 query.py:772(reset_refcounts)
        3    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        8    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 {cPickle.loads}
        3    0.000    0.000    0.000    0.000 where.py:50(_prepare_data)
        8    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 locmem.py:28(LocMemCache)
        1    0.000    0.000    0.000    0.000 {any}
        1    0.000    0.000    0.000    0.000 datastructures.py:532(__getitem__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 operations.py:344(savepoint_commit_sql)
        1    0.000    0.000    0.000    0.000 compiler.py:222(get_order_by)
        7    0.000    0.000    0.000    0.000 dispatcher.py:246(_clear_dead_receivers)
        5    0.000    0.000    0.000    0.000 {binascii.b2a_base64}
        1    0.000    0.000    0.000    0.000 threading.py:131(__init__)
        1    0.000    0.000    0.000    0.000 fields.py:226(widget_attrs)
        1    0.000    0.000    0.000    0.000 models.py:89(make_hash)
        3    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 <string>:1(Result)
        7    0.000    0.000    0.000    0.000 query.py:1950(extra_select)
        1    0.000    0.000    0.000    0.000 lookups.py:28(get_lookup)
        3    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 six.py:575(iteritems)
        3    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:1331(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 six.py:78(_import_module)
        7    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 six.py:180(find_module)
        1    0.000    0.000    0.000    0.000 models.py:50(make_hash)
        1    0.000    0.000    0.000    0.000 query.py:899(db)
        7    0.000    0.000    0.000    0.000 {id}
        1    0.000    0.000    0.000    0.000 {unicodedata.normalize}
        2    0.000    0.000    0.000    0.000 utils.py:287(_route_db)
        1    0.000    0.000    0.000    0.000 query.py:683(table_alias)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        5    0.000    0.000    0.000    0.000 query.py:240(get_meta)
        3    0.000    0.000    0.000    0.000 {mmh3.hash}
        1    0.000    0.000    0.000    0.000 base.py:432(wrap_database_errors)
        2    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        5    0.000    0.000    0.000    0.000 expressions.py:129(__init__)
        3    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        2    0.000    0.000    0.000    0.000 query.py:753(demote_joins)
        1    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 {_csv.reader}
        3    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
        3    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'close' of 'psycopg2.extensions.cursor' objects}
        4    0.000    0.000    0.000    0.000 utils.py:17(__init__)
        1    0.000    0.000    0.000    0.000 datastructures.py:135(as_sql)
        5    0.000    0.000    0.000    0.000 threading.py:58(__init__)
        5    0.000    0.000    0.000    0.000 expressions.py:225(_output_field_or_none)
        1    0.000    0.000    0.000    0.000 compiler.py:528(get_distinct)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 datastructures.py:527(__init__)
        4    0.000    0.000    0.000    0.000 base.py:324(validate_no_broken_transaction)
        1    0.000    0.000    0.000    0.000 models.py:27(make_hash)
        1    0.000    0.000    0.000    0.000 widgets.py:263(__init__)
        5    0.000    0.000    0.000    0.000 query.py:937(join_parent_model)
        1    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 {repr}
        5    0.000    0.000    0.000    0.000 operations.py:514(get_db_converters)
        4    0.000    0.000    0.000    0.000 _abcoll.py:26(<genexpr>)
        5    0.000    0.000    0.000    0.000 __init__.py:350(select_format)
        3    0.000    0.000    0.000    0.000 __init__.py:133(_memvname)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        4    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 base.py:316(validate_no_atomic_block)
        1    0.000    0.000    0.000    0.000 query.py:1764(get_related_populators)
        4    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        3    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        3    0.000    0.000    0.000    0.000 utils.py:99(__call__)
        3    0.000    0.000    0.000    0.000 query.py:1643(can_filter)
        3    0.000    0.000    0.000    0.000 {thread.allocate_lock}
